Year,Age,Sex,Income,Records
1988,14,F,H,1
1988,14,F,UM,2
1988,14,M,L,1
1988,15,F,H,2
1988,15,F,L,1
1988,15,F,UM,4
1988,16,F,H,2
1988,16,F,L,2
1988,16,F,UM,6
1988,17,F,H,5
1988,17,F,L,2
1988,17,F,LM,1
1988,17,F,UM,5
1988,17,M,H,2
1988,18,F,H,5
1988,18,F,L,2
1988,18,F,LM,1
1988,18,F,UM,8
1988,18,M,H,5
1988,18,M,UM,3
1988,19,F,H,3
1988,19,F,L,7
1988,19,F,UM,1
1988,19,M,H,13
1988,19,M,LM,4
1988,19,M,UM,3
1988,20,F,H,13
1988,20,F,L,4
1988,20,F,LM,4
1988,20,F,UM,6
1988,20,M,H,21
1988,20,M,L,1
1988,20,M,LM,6
1988,20,M,UM,7
1988,21,F,H,16
1988,21,F,L,2
1988,21,F,UM,7
1988,21,M,H,35
1988,21,M,L,5
1988,21,M,LM,4
1988,21,M,UM,11
1988,22,F,H,14
1988,22,F,L,1
1988,22,F,LM,1
1988,22,F,UM,11
1988,22,M,H,55
1988,22,M,L,1
1988,22,M,LM,4
1988,22,M,UM,10
1988,23,F,H,32
1988,23,F,L,1
1988,23,F,UM,11
1988,23,M,H,44
1988,23,M,L,4
1988,23,M,LM,3
1988,23,M,UM,18
1988,24,F,H,26
1988,24,F,L,8
1988,24,F,LM,5
1988,24,F,UM,7
1988,24,M,H,43
1988,24,M,L,6
1988,24,M,LM,11
1988,24,M,UM,15
1988,25,F,H,14
1988,25,F,L,5
1988,25,F,UM,10
1988,25,M,H,35
1988,25,M,L,1
1988,25,M,LM,5
1988,25,M,UM,6
1988,26,F,H,13
1988,26,F,L,2
1988,26,F,LM,2
1988,26,F,UM,6
1988,26,M,H,42
1988,26,M,L,2
1988,26,M,LM,3
1988,26,M,UM,6
1988,27,F,H,7
1988,27,F,L,1
1988,27,F,LM,1
1988,27,F,UM,1
1988,27,M,H,38
1988,27,M,L,1
1988,27,M,LM,3
1988,27,M,UM,8
1988,28,F,H,13
1988,28,M,H,47
1988,28,M,LM,8
1988,28,M,UM,4
1988,29,F,H,7
1988,29,F,L,1
1988,29,F,UM,3
1988,29,M,H,24
1988,29,M,LM,5
1988,29,M,UM,4
1988,30,F,H,4
1988,30,F,UM,3
1988,30,M,H,7
1988,30,M,L,1
1988,30,M,LM,2
1988,31,F,H,3
1988,31,F,L,2
1988,31,M,H,21
1988,31,M,L,1
1988,31,M,LM,1
1988,31,M,UM,2
1988,32,F,H,3
1988,32,M,H,14
1988,32,M,UM,2
1988,33,F,H,4
1988,33,M,H,8
1988,34,F,H,1
